ITEM ;NOME;AMBIENTE;LOCAL ;TAG ;ENDEREÇO ;CNPJ;MODELO;NUMERO DE SERIE
1;SEDE;GARAGEM;SALA TI/CPD/CFTV;SSS-ST-001;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE E FRIO 220V ATNW24GPLP0.ANWZBRZ ;911AZXC9U082
2;SEDE;GARAGEM;SALA TI/CPD/CFTV;SSS-ST-002;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG 18000 BTUS QUENTE E FRIO 220V S4NQ18KL31B.EB2GAM1 ; 402AZTH3N233
3;SEDE;SEDE PISO TÉRREO;HALL ELEVADOR;SPT-HE-001;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE E FRIO 220V ATNW24GPLP0.ANWZBRZ; 911AZAL9U104
4;SEDE;SEDE PISO TÉRREO;CX ELETRÔNICO;SPT-CX-002;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBRZ; 912AZGF1A063
5;SEDE;SEDE PISO TÉRREO;RECEPÇÃO;SPT-RE-003;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBRZ;912AZKA11093
6;SEDE;SEDE PISO TÉRREO;ESPERA;SPT-ES-004;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBRZ;912AZDB11090
7;SEDE;SEDE PISO TÉRREO;ATENDIMENTO;SPT-AT-005;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;912AZBZ7B997
8;SEDE;SEDE PISO TÉRREO;ATENDIMENTO;SPT-AT-006;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;912AZBZ52549
9;SEDE;SEDE PISO TÉRREO;GERENCIA ATENDIMENTO;SPT-GA-007;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;912AZCQ7C003
10;SEDE;SEDE PISO TÉRREO;GERENCIA ATENDIMENTO;SPT-GA-008;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;912AZJT7B996
