NOME;UNIDADE;LOCAL ;TAG 
SEDE;GARAGEM;SALA TI/CPD/CFTV;SSS-ST-001
SEDE;GARAGEM;SALA TI/CPD/CFTV;SSS-ST-002
SEDE;SEDE PISO TÉRREO;HALL ELEVADOR;SPT-HE-001
SEDE;SEDE PISO TÉRREO;CX ELETRÔNICO;SPT-CX-002
SEDE;SEDE PISO TÉRREO;RECEPÇÃO;SPT-RE-003
SEDE;SEDE PISO TÉRREO;ESPERA;SPT-ES-004
SEDE;SEDE PISO TÉRREO;ATENDIMENTO;SPT-AT-005
SEDE;SEDE PISO TÉRREO;ATENDIMENTO;SPT-AT-006
SEDE;SEDE PISO TÉRREO;GERENCIA ATENDIMENTO;SPT-GA-007
SEDE;SEDE PISO TÉRREO;GERENCIA ATENDIMENTO;SPT-GA-008
SEDE;SEDE PISO TÉRREO;AGÊNCIA;SPT-AG-009
SEDE;SEDE PISO TÉRREO;AGÊNCIA;SPT-AG-010
SEDE;SEDE PISO TÉRREO;TESOURARIA;SPT-TE-011
SEDE;SEDE PISO TÉRREO;LOUNGE CAFE;SPT-LC-012
SEDE;SEDE PISO TÉRREO;ATENDIMENTO SEGURO;SPT-AS-013
SEDE;SEDE PISO TÉRREO;ATENDIMENTO SEGURO;SPT-AS-014
SEDE;SEDE PISO TÉRREO;CORREDOR E ENTRADA;SPT-CE-015
SEDE;SEDE PISO TÉRREO;CORREDOR E ENTRADA;SPT-CE-016
SEDE;SEDE PISO TÉRREO;ANÁLISE TECNICA;SPT-AL-017
SEDE;SEDE PISO TÉRREO;COPA;SPT-CO-018
SEDE;SEDE PISO TÉRREO;GUARITA;SPT-GU-019
SEDE;SEDE PISO TÉRREO;SALA DO NOBREAK;SPT-NB-020
SEDE;SEDE PISO SUPERIOR;HALL ELEVADOR;SPS-HE-001 
SEDE;SEDE PISO SUPERIOR;HALL ELEVADOR;SPS-HE-002
SEDE;SEDE PISO SUPERIOR;CORREDOR E ENTRADA;SPS-CE-003
SEDE;SEDE PISO SUPERIOR;CORREDOR E ENTRADA;SPS-CE-004
SEDE;SEDE PISO SUPERIOR;REUNIÃO;SPS-SR-005
SEDE;SEDE PISO SUPERIOR;REUNIÃO;SPS-SR-006
SEDE;SEDE PISO SUPERIOR;CONSELHO;SPS-SC-007
SEDE;SEDE PISO SUPERIOR;PRESIDÊNCIA CONSELHO;SPS-SP-008
SEDE;SEDE PISO SUPERIOR;RECEPÇÃO;SPS-RE-009
SEDE;SEDE PISO SUPERIOR;LOUNGE ESPERA;SPS-LE-010
SEDE;SEDE PISO SUPERIOR;DIRETORIA OPERACIONAL;SPS-SD-011
SEDE;SEDE PISO SUPERIOR;ASSESSORIA PRESIDÊNCIA;SPS-SD-012
SEDE;SEDE PISO SUPERIOR;DIRETOR PRESIDENTE;SPS-SD-013
SEDE;SEDE PISO SUPERIOR;AUDITÓRIO;SPS-AU-014
SEDE;SEDE PISO SUPERIOR;AUDITÓRIO;SPS-AU-015
SEDE;SEDE PISO SUPERIOR;AUDITÓRIO;SPS-AU-016
SEDE;SEDE PISO SUPERIOR;AUDITÓRIO;SPS-AU-017
SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-001
SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-002
SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-003
SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-004
SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-005
SEDE;ANEXO PISO TÉRREO;SALA ADMINISTRAÇÃO;APT-SA-006
SEDE;ANEXO PISO TÉRREO;SALA ALMOXARIFADO;APT-AL-007
SEDE;ANEXO PISO TÉRREO;SALA TECNO INFO;APT-SI-008
SEDE;ANEXO PISO TÉRREO;SALA TECNO INFO;APT-SI-009
SEDE;ANEXO PISO TÉRREO;SALA TECNO INFO;APT-SI-010
SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO;APS-RF-001
SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO;APS-RF-002
SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO;APS-RF-003
SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO;APS-RF-004
SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO / DESCOMPRESSÃO;APS-RF-005
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;GUARITA;CPT-GU-001
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;RECEPÇÃO;CPT-RE-002
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;RECEPÇÃO;CPT-RE-003
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;RECEPÇÃO;CPT-RE-004
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;AUDITÓRIO;CPT-AU-005
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;AUDITÓRIO;CPT-AU-006
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;GERENCIA ATENDIMENTO PJ;CPT-ST-007
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;SALA DE COSTURA;CPT-SC-008
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;COPA/COZINHA;CPT-CO-009
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;RECEPÇÃO/SALA CONSELHO;CPS-RE-001
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA ADMINISTRAÇÃO;CPS-SA-002
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA PODCAST;CPS-SP-003
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TREINAMENTO;CPS-ST-004
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TREINAMENTO;CPS-ST-005
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TREINAMENTO;CPS-ST-006
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TREINAMENTO;CPS-ST-007
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA PESSOAL CALLCENTER;CPS-SP-004
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TI/CPD/CFTV;CPS-ST-005
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;ANFITEATRO E DANÇA;CPS-AD-006
CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;ANFITEATRO E DANÇA;CPS-AD-007
SUL;AG SUL;SALA TI/CPD/CFTV;AST-TI-001
SUL;AG SUL;ATENDIMENTO;AST-AT-002
SUL;PA SUL;ATENDIMENTO;AST-AT-003
SUL;PA SUL;ATENDIMENTO;AST-AT-004
jAMBEIRO;AG JAMBEIRO;ATENDIMENTO;AJA-AT-001
jAMBEIRO;AG JAMBEIRO;ATENDIMENTO;AJA-AT-002
jAMBEIRO;AG JAMBEIRO;ATENDIMENTO;AJA-AT-003
jAMBEIRO;AG JAMBEIRO;COPA;AJA-CO-004
jAMBEIRO;AG JAMBEIRO;SALA TI/CFTV/NOBREAK;AJA-TI-005
PARAIBUNA;AG PARAIBUNA CEDRAP;ATENDIMENTO;APA-AT-001
PARAIBUNA;AG PARAIBUNA CEDRAP;ATENDIMENTO;APA-AT-002
PARAIBUNA;AG PARAIBUNA CEDRAP;ATENDIMENTO;APA-AT-003
PARAIBUNA;AG PARAIBUNA CEDRAP;ATENDIMENTO;APA-AT-004
PARAIBUNA;AG PARAIBUNA CEDRAP;ATM;APA-CX-005
PARAIBUNA;AG PARAIBUNA CEDRAP;SALA TI/CFTV/NOBREAK;APA-TI-006
PARAIBUNA;PA PARAIBUNA CENTRO;ATENDIMENTO;APA-AT-007
CAÇAPAVA;PA CAÇAPAVA;ATENDIMENTO;ACP-AT-001
